stars	language	updated	issues	size	forks	watchers	repo	created	description
100	R	2022-04-14	47	115076	45	100	https://github.com/IQSS/Zelig	2013-12-05	A statistical framework that serves as a common interface to a large range of models
100	Python	2022-12-10	332	129969	22	100	https://github.com/refinery-platform/refinery-platform	2011-11-23	The Refinery Platform is a data management, analysis and visualization system for bioinformatics and computational biology applications. The platforms consists of three major components: a data repository with rich metadata capabilities, a workflow engine based on the popular Galaxy system, and visualization tools to support the exploration and interpretation of results at all stages of the analysis process.
96	JavaScript	2019-09-17	30	275270	31	96	https://github.com/cga-harvard/geonode	2010-11-01	Harvard WorldMap is a heavily modified fork of GeoNode 1.4 which has recently been migrated to GeoNode 2.10. WorldMap is being made available by Harvard's Center for Geographic Analysis to lower the barrier for scholars and others who wish to explore, visualize, edit, collaborate with, and publish geospatial information.
96	Python	2019-01-07	0	1829	36	96	https://github.com/harvardinformatics/ATAC-seq	2017-10-06	
85	Ruby	2022-09-26	16	6919	28	85	https://github.com/berkmancenter/tagteam	2011-07-12	Enhanced Social Tagging for Academic Communities
85	Java	2022-12-22	20	913321	44	85	https://github.com/harvard-lts/fits	2013-03-02	File Information Tool Set
48	Python	2020-10-19	5	41	12	48	https://github.com/cid-harvard/pandas-to-postgres	2018-07-12	Copy Pandas DataFrames and HDF5 files to PostgreSQL database
46	JavaScript	2017-11-07	13	3367	27	46	https://github.com/berkmancenter/dotplot	2015-02-19	Telling a story through dots
46	Python	2022-12-06	3	90	21	46	https://github.com/cid-harvard/py-ecomplexity	2018-10-29	Python package to compute economic complexity and associated variables
39	JavaScript	2020-06-25	12	2435	10	39	https://github.com/harvard-library/aspace-import-excel	2017-01-19	Import resources, archival objects, etc. into ArchivesSpace using Excel spreadsheet files
